system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,CEC,EVI,Evap_tavg,GNDVI,K_proxy,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,N,NDVI,NDVI_class,NDWI,P_proxy,QA10,QA20,QA60,Rainf_tavg,SAVI,SCL,SOC,SoilMoi0_10cm_inst,TCI_B,TCI_G,TCI_R,Tair_f_inst,WVP,aspect,bulk_density,clay,elevation,latitude,longitude,pH,sand,silt,slope,.geo
0_0,0.023787579,0.043222655,0.17060535,0.1038357,0.05070782,0.07736355,0.066842325,0.11709612,0.21696588,0.2450816,0.25465563,0.26729125,0.27267414,176,0.3681456177711185,2.5736073E-5,0.53398144,284.3,0.0,0.0,0.0,0.0,0.0,1175,0.58418196,2,-0.53398144,196.3,0.0,0.0,0.0,2.7600705E-5,0.342934458970276,4.0E-4,150,19.601076,0.0052730897,0.007979443,0.0069029965,297.25507,0.17086844,-0.0,147,287,268,30.783018998565705,76.20633134006931,76,325,389,0.057968166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.20633134006931,30.783018998565705]}"
1_0,0.029614663,0.043818362,0.17686647,0.110803545,0.05234686,0.081602715,0.07512002,0.1246262,0.24478684,0.28322378,0.29003084,0.3025647,0.30704844,180,0.39852928197469517,2.1545284E-5,0.5608431,254.4,0.0,0.0,0.0,3.491891E-5,0.0,1171,0.58855355,2,-0.5608431,266.2,0.0,0.0,0.0,2.1413007E-5,0.372612739966115,4.0E-4,320,17.647583,0.0054333843,0.008430054,0.007781774,298.3822,0.1846966,229.41974,138,234,213,31.07497146590455,75.15081088122888,81,411,356,0.08911148,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.15081088122888,31.07497146590455]}"
2_0,0.025171814,0.04571391,0.18352547,0.115096,0.05644482,0.08550175,0.07571178,0.1311287,0.23308656,0.2616986,0.2707953,0.28428006,0.2901344,225,0.3746620548741525,2.3216808E-5,0.5200535,342.4,0.0,0.0,0.0,1.5654634E-5,0.0,1459,0.5630001,2,-0.5200535,225.3,0.0,0.0,0.0,2.3251918E-5,0.3456855491320322,4.1950293E-4,126,18.091377,0.0058471425,0.008812023,0.0077839773,298.25385,0.18090849,180.0,147,391,248,30.26648771019698,76.17039872870453,80,215,395,0.057968166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.17039872870453,30.26648771019698]}"
3_0,0.025554273,0.045419406,0.1782821,0.10936716,0.05457829,0.083413534,0.071430415,0.12792559,0.2331339,0.26324144,0.272038,0.2860997,0.29133424,178,0.38838803399269584,2.3498264E-5,0.5306616,302.59999999999997,0.0,0.0,0.0,7.301344E-6,0.0,1301,0.5840642,2,-0.5306616,194.1,0.0,0.0,0.0,2.3601911E-5,0.35675478402595084,4.0948723E-4,125,18.143934,0.0056512994,0.0086037945,0.0073578036,298.16,0.17994729,201.12685,147,320,251,30.383268697132518,76.12548296449856,79,276,404,0.18643522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.12548296449856,30.383268697132518]}"
4_0,0.025114128,0.044198014,0.20169804,0.13359804,0.060764257,0.09120227,0.088334255,0.14261873,0.24018446,0.2673278,0.27721772,0.28933996,0.2966382,142,0.34939821366317714,2.1019923E-5,0.5049005,244.0,0.0,0.0,0.0,4.486276E-5,0.0,1126,0.51670754,2,-0.5049005,154.7,0.0,0.0,0.0,2.0561778E-5,0.3273346963705731,4.5589116E-4,108,17.172972,0.006295722,0.009385835,0.009045507,298.74133,0.18285254,201.01877,147,241,231,29.83080479739901,76.17039872870453,82,409,350,0.18629977,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.17039872870453,29.83080479739901]}"
5_0,0.029674906,0.036514476,0.19774175,0.13168609,0.05400844,0.08338147,0.078857675,0.13542545,0.24940005,0.28464058,0.29176402,0.30627078,0.306874,133,0.3914160571911834,1.783364E-5,0.5554713,226.20000000000002,0.0,0.0,0.0,6.427391E-6,0.0,1580,0.57445735,2,-0.5554713,163.7,0.0,0.0,0.0,1.717531E-5,0.36681778091775685,4.339785E-4,123,15.594017,0.005569758,0.0086009,0.008118833,299.15546,0.17489389,229.07434,149,252,220,29.884703714446182,75.60446009970923,80,464,285,0.088490255,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.60446009970923,29.884703714446182]}"
6_0,0.02298616,0.050384417,0.1803651,0.11431127,0.05944076,0.087158255,0.07736991,0.12837905,0.219079,0.24144234,0.25080663,0.26342276,0.27019596,180,0.34162056610846403,2.5723362E-5,0.4842171,317.8,0.0,0.0,0.0,9.705016E-6,0.0,1530,0.528486,2,-0.4842171,209.5,0.0,0.0,0.0,2.6294943E-5,0.31412997199772635,4.1001532E-4,134,19.537256,0.0061702942,0.008966647,0.007939365,297.8873,0.18294005,270.0,147,355,256,30.39674342639431,76.43989331394039,79,239,406,0.06720696,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.43989331394039,30.39674342639431]}"
7_0,0.0253487,0.044608966,0.1722538,0.10349957,0.052179717,0.08033422,0.06721156,0.12273352,0.22907469,0.25976673,0.2686157,0.28268844,0.28762454,210,0.3932024278831578,2.4351317E-5,0.5395659,305.2,0.0,0.0,0.0,0.0,0.0,1321,0.59972537,2,-0.5395659,207.5,0.0,0.0,0.0,2.4943962E-5,0.3614457372199588,4.0E-4,136,18.580408,0.0054077525,0.008291584,0.0069393083,297.8453,0.17705809,90.0,141,325,259,30.58538963605941,76.11200823523676,78,302,374,0.067336015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.11200823523676,30.58538963605941]}"
8_0,0.02288284,0.048417658,0.19889745,0.12995493,0.06303106,0.093526214,0.08974696,0.14294015,0.23324092,0.25658053,0.26756436,0.2788611,0.28894103,138,0.3334126673854388,2.3189199E-5,0.4819792,263.79999999999995,0.0,0.0,0.0,5.4974455E-5,0.0,1099,0.49765396,2,-0.4819792,171.6,0.0,0.0,0.0,2.2980475E-5,0.31111929855930026,4.5645543E-4,111,18.221676,0.0065431516,0.009617831,0.009176592,298.40775,0.18617247,310.91556,152,295,243,29.920636325810964,76.44887646678158,81,357,348,0.08850829,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.44887646678158,29.920636325810964]}"
9_0,0.024741122,0.045198996,0.17252277,0.10455571,0.052776553,0.08051426,0.06810839,0.12204823,0.2250807,0.2541596,0.26316103,0.2768172,0.28198752,220,0.38216026838871864,2.4856992E-5,0.5314516,319.4,0.0,0.0,0.0,0.0,0.0,1272,0.58880365,2,-0.5314516,211.3,0.0,0.0,0.0,2.5710247E-5,0.351966476657175,4.0E-4,148,18.932884,0.0054741004,0.008305404,0.0070267343,297.72696,0.17657581,270.0,143,311,261,30.607847518162398,76.17489030512513,78,260,430,0.06735146,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.17489030512513,30.607847518162398]}"
10_0,0.023084532,0.042790268,0.17013428,0.104051836,0.050139204,0.076150194,0.06647442,0.114910804,0.2117567,0.2387855,0.24863093,0.26070228,0.26627475,188,0.35817152933771795,2.6268544E-5,0.5310676,292.2,0.0,0.0,0.0,0.0,0.0,1272,0.57808125,2,-0.5310676,212.2,0.0,0.0,0.0,2.8707718E-5,0.335214037295327,4.0E-4,171,20.016932,0.0052207084,0.007851703,0.006864417,297.01028,0.16806835,-0.0,145,297,270,30.845901068454072,76.26023025711648,77,313,390,0.11593621,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.26023025711648,30.845901068454072]}"
11_0,0.021926645,0.04458861,0.1714787,0.106387705,0.05171576,0.07703659,0.0678676,0.11474531,0.20487565,0.2289043,0.23888098,0.2503889,0.25638944,186,0.33979272327773863,2.7000751E-5,0.5122994,283.3,0.0,0.0,0.0,0.0,0.0,1230,0.5575034,2,-0.5122994,228.2,0.0,0.0,0.0,2.9899546E-5,0.31796779553697846,4.0E-4,205,20.572365,0.0053885044,0.007933613,0.006993881,296.85635,0.16745713,310.65662,150,295,276,30.81446003350989,76.4129438554168,76,341,365,0.08897309,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4129438554168,30.81446003350989]}"
12_0,0.022355536,0.045033634,0.17186601,0.106440924,0.052291688,0.078031786,0.06840875,0.11628211,0.20812055,0.23264427,0.24244766,0.2542995,0.26020274,209,0.34512013846772926,2.6704418E-5,0.51303095,314.0,0.0,0.0,0.0,0.0,0.0,1223,0.5598691,2,-0.51303095,240.2,0.0,0.0,0.0,2.919866E-5,0.3219538762307408,4.0E-4,203,20.325815,0.0054442305,0.008037271,0.0070493375,297.02274,0.16960901,180.0,146,323,273,30.77403584572451,76.38150282047262,77,270,407,0.057968166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.38150282047262,30.77403584572451]}"
13_0,0.025389267,0.037865408,0.16514336,0.09927615,0.04671082,0.073876806,0.066455394,0.11241852,0.22331117,0.2551704,0.2652582,0.27766177,0.2825417,187,0.3783377882606507,2.5752943E-5,0.5643221,258.0,0.0,0.0,0.0,0.0,0.0,1189,0.59932065,2,-0.5643221,197.1,0.0,0.0,0.0,2.7118114E-5,0.3585419345365076,4.0E-4,161,19.346594,0.0048710196,0.007634724,0.00690242,297.1618,0.17057799,180.0,151,264,245,31.15132826505471,75.8514968028421,77,415,321,0.17390402,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.8514968028421,31.15132826505471]}"
14_0,0.030178621,0.036124412,0.1971068,0.12877783,0.05225526,0.08153143,0.07498965,0.13362248,0.25292498,0.29084378,0.29767597,0.31195953,0.3124826,146,0.41064841342288627,1.6924527E-5,0.5699903,227.5,0.0,0.0,0.0,6.0564453E-6,0.0,1353,0.59755,2,-0.5699903,147.2,0.0,0.0,0.0,1.6367178E-5,0.38276915636228503,4.2419383E-4,104,15.241701,0.0053846575,0.008420157,0.0077316277,299.29694,0.17619556,270.0,148,220,219,29.938602631493353,75.36191497299696,80,461,319,0.066895545,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.36191497299696,29.938602631493353]}"
15_0,0.026816519,0.041399896,0.19960222,0.13234812,0.058123723,0.088077135,0.08438649,0.13946141,0.2431696,0.27330646,0.2821146,0.2951697,0.29986998,171,0.36548481282988066,1.9916777E-5,0.52415395,257.3,0.0,0.0,0.0,2.908541E-5,0.0,1409,0.5395021,2,-0.52415395,174.89999999999998,0.0,0.0,0.0,1.9409154E-5,0.3422871157473202,4.4620584E-4,120,16.627401,0.0060124225,0.009071817,0.008658566,298.87823,0.17978401,180.0,146,269,228,29.866737408763793,75.95929463693645,80,403,328,0.057968166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.95929463693645,29.866737408763793]}"
16_0,0.024135176,0.04839597,0.17486225,0.107770786,0.05610113,0.083807185,0.07150775,0.12482274,0.22272421,0.24873689,0.25759968,0.27115422,0.27670336,227,0.36751270529354496,2.5307556E-5,0.50904804,338.0,0.0,0.0,0.0,0.0,0.0,1439,0.56544435,2,-0.50904804,238.70000000000002,0.0,0.0,0.0,2.5868132E-5,0.3366727678625507,4.0E-4,155,19.190805,0.0058177304,0.008634382,0.007359101,297.8655,0.18063581,180.0,145,386,259,30.50903283690925,76.29616286848126,78,229,385,0.057968166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.29616286848126,30.50903283690925]}"
17_0,0.025229832,0.045190044,0.18815641,0.11978413,0.057436083,0.086858496,0.078810185,0.13403462,0.23520033,0.2636107,0.27288288,0.28605554,0.29220933,170,0.36896696513234584,2.2592149E-5,0.5171059,283.7,0.0,0.0,0.0,2.2871862E-5,0.0,1368,0.55182403,2,-0.5171059,185.6,0.0,0.0,0.0,2.2491342E-5,0.3418004122530708,4.2872602E-4,131,17.8214,0.0059496923,0.0089488225,0.008093976,298.38693,0.18130566,229.15059,149,287,241,30.15419829968204,76.16141557586333,80,320,393,0.08862637,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.16141557586333,30.15419829968204]}"
18_0,0.022808578,0.049037088,0.17498569,0.10950075,0.05668226,0.08338384,0.072681956,0.12251025,0.2136524,0.23658054,0.24583411,0.25842643,0.26444155,210,0.3444281689090139,2.6388285E-5,0.49344292,322.7,0.0,0.0,0.0,0.0,0.0,1532,0.5436214,2,-0.49344292,233.7,0.0,0.0,0.0,2.7672817E-5,0.3173159872657923,4.0E-4,168,19.968092,0.0058886423,0.008581995,0.007472208,297.54434,0.17831022,49.274235,146,359,267,30.580898059638812,76.421927008258,77,254,387,0.08884832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.421927008258,30.580898059638812]}"
19_0,0.023833463,0.04889494,0.17823775,0.111343004,0.057535738,0.08545753,0.074439764,0.12720898,0.22285484,0.24777731,0.25686187,0.2700571,0.27614206,232,0.3585389607784184,2.5180518E-5,0.50071466,336.5,0.0,0.0,0.0,6.0079947E-6,0.0,1445,0.5506224,2,-0.50071466,221.29999999999998,0.0,0.0,0.0,2.5648596E-5,0.32916229503459793,4.0659477E-4,129,19.168365,0.0059678634,0.008799681,0.007650454,297.93695,0.18175797,-0.0,147,368,258,30.428184461338493,76.33658705626664,79,233,399,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.33658705626664,30.428184461338493]}"
20_0,0.028739663,0.03817374,0.1972595,0.13055725,0.05503664,0.0846163,0.07987318,0.1362633,0.2474385,0.2812769,0.28896305,0.30308163,0.3050725,145,0.3856530397732574,1.8625926E-5,0.5469969,238.7,0.0,0.0,0.0,1.3215393E-5,0.0,1240,0.5668908,2,-0.5469969,161.89999999999998,0.0,0.0,0.0,1.8026363E-5,0.3609826458362677,4.364742E-4,108,15.959786,0.005681541,0.0087253675,0.008216143,299.03717,0.17646849,-0.0,153,263,225,29.902670020128575,75.72124108664477,80,437,300,0.057968166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.72124108664477,29.902670020128575]}"
21_0,0.023149079,0.043762017,0.17095089,0.104778014,0.05113679,0.077344745,0.0672952,0.11637473,0.21285102,0.2395094,0.2492166,0.26146865,0.26706934,193,0.358264797866808,2.6176042E-5,0.526308,292.4,0.0,0.0,0.0,0.0,0.0,1332,0.57476974,2,-0.526308,208.6,0.0,0.0,0.0,2.837688E-5,0.3342047223332848,4.0E-4,157,19.934973,0.0053212545,0.007973152,0.0069442894,297.12503,0.1698509,270.0,149,305,271,30.792002151406898,76.27819656279887,77,320,375,0.06748187,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.27819656279887,30.792002151406898]}"
22_0,0.022577861,0.042822212,0.17011526,0.10445451,0.050046157,0.07564387,0.066384494,0.11383103,0.20826665,0.23439257,0.24438177,0.2561118,0.26183102,198,0.3511230547830252,2.661025E-5,0.5272637,284.2,0.0,0.0,0.0,0.0,0.0,1287,0.572769,2,-0.5272637,212.29999999999998,0.0,0.0,0.0,2.9407689E-5,0.32931305343286554,4.0E-4,172,20.289505,0.005214629,0.0077970023,0.0068527614,296.86853,0.16650946,-0.0,149,289,271,30.86835895055706,76.30963759774306,76,347,364,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.30963759774306,30.86835895055706]}"
23_0,0.02462642,0.045744542,0.17293233,0.10510375,0.053330902,0.08105408,0.06864903,0.12250609,0.22461213,0.25316525,0.2621431,0.2757799,0.281016,207,0.3796813990179373,2.4933212E-5,0.52765304,311.20000000000005,0.0,0.0,0.0,0.0,0.0,1348,0.58494157,2,-0.52765304,202.6,0.0,0.0,0.0,2.5748699E-5,0.34935466805936805,4.0E-4,140,18.979486,0.00553137,0.00835925,0.0070792893,297.74756,0.17719959,270.0,143,304,258,30.58988121248001,76.19734818722812,77,272,425,0.0673391,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.19734818722812,30.58988121248001]}"
24_0,0.023891909,0.04810438,0.18463466,0.11713395,0.058749177,0.0874663,0.07863362,0.1318347,0.22720382,0.25234774,0.2618525,0.2746257,0.2815279,248,0.35424181068420824,2.4265699E-5,0.4992179,349.3,0.0,0.0,0.0,1.9325567E-5,0.0,1420,0.53810966,2,-0.4992179,232.79999999999998,0.0,0.0,0.0,2.448846E-5,0.32698734022185527,4.213384E-4,130,18.720428,0.0060934024,0.0090043405,0.008070056,298.1243,0.18259028,90.0,147,394,248,30.26648771019698,76.32760390342544,82,215,391,0.067115515,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.32760390342544,30.26648771019698]}"
25_0,0.022900518,0.05089421,0.1763696,0.11104985,0.058736842,0.08578604,0.07480769,0.1250935,0.21534428,0.23724547,0.24629338,0.25912207,0.26523283,223,0.3417102831855816,2.6360292E-5,0.48334023,324.9,0.0,0.0,0.0,0.0,0.0,1735,0.5340552,2,-0.48334023,219.4,0.0,0.0,0.0,2.7149998E-5,0.3132726870836446,4.0E-4,157,19.88243,0.0060979887,0.008825625,0.0076828557,297.75156,0.18212402,270.0,146,321,264,30.504541260488654,76.44887646678158,78,247,432,0.06728055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.44887646678158,30.504541260488654]}"
26_0,0.024446094,0.03819441,0.1657107,0.099940814,0.04647123,0.07291403,0.06528523,0.11108957,0.2173888,0.24800695,0.25822204,0.27021834,0.27531335,168,0.3706334265298653,2.6098445E-5,0.55961293,248.8,0.0,0.0,0.0,0.0,0.0,1166,0.59639096,2,-0.55961293,202.4,0.0,0.0,0.0,2.8211918E-5,0.3514300758780875,4.0E-4,175,19.72366,0.004848648,0.007531598,0.0067744264,296.93143,0.16701186,229.43431,148,271,250,31.124378806531123,75.97276936619824,78,429,300,0.08913795,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.97276936619824,31.124378806531123]}"
27_0,0.024447784,0.040669944,0.16840222,0.10141558,0.04841142,0.0752321,0.06530763,0.114979394,0.2197029,0.25004277,0.25977564,0.27243614,0.27753204,161,0.37730424528166195,2.5514162E-5,0.5508635,243.0,0.0,0.0,0.0,0.0,0.0,1058,0.5982098,2,-0.5508635,185.89999999999998,0.0,0.0,0.0,2.7360542E-5,0.35354250911059865,4.0E-4,158,19.408655,0.0050378307,0.007767689,0.0067614107,297.18854,0.16921072,30.230827,151,249,254,30.90429156192184,76.07158404745138,77,434,317,0.5367242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.07158404745138,30.90429156192184]}"
28_0,0.02303995,0.04896944,0.19166254,0.12383609,0.06146217,0.09088137,0.08473073,0.13719274,0.22813323,0.2513439,0.26164508,0.27351236,0.28217402,196,0.33786442327325095,2.4077646E-5,0.4843997,305.1,0.0,0.0,0.0,3.679041E-5,0.0,1296,0.5107584,2,-0.4843997,186.09999999999997,0.0,0.0,0.0,2.4159877E-5,0.3135386447150889,4.3815566E-4,121,18.681435,0.0063795894,0.009347894,0.0086757,298.2185,0.1847413,180.0,148,288,245,30.104790959055464,76.43091016109919,80,275,437,0.17390402,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.43091016109919,30.104790959055464]}"
29_0,0.026207512,0.044020846,0.17954502,0.110091105,0.053802084,0.08299164,0.07118334,0.12880374,0.23708563,0.26890558,0.2775951,0.29188836,0.296781,197,0.39658587340881957,2.272677E-5,0.5396856,304.1,0.0,0.0,0.0,8.803858E-6,0.0,1394,0.59181345,2,-0.5396856,195.79999999999998,0.0,0.0,0.0,2.2675787E-5,0.364780289982066,4.1248428E-4,128,17.7157,0.0055671036,0.008564424,0.0073361807,298.27676,0.17931199,180.0,146,308,247,30.33835293292654,76.04463458892779,79,286,406,0.057968166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.04463458892779,30.33835293292654]}"
30_0,0.021578413,0.039152388,0.16703555,0.10221732,0.04602699,0.07025863,0.06287632,0.10668755,0.19897252,0.2252843,0.23599525,0.24656355,0.25237915,151,0.34130914364521087,2.7418573E-5,0.54117393,229.89999999999998,0.0,0.0,0.0,0.0,0.0,1305,0.5792419,2,-0.54117393,192.59999999999997,0.0,0.0,0.0,3.1685613E-5,0.3250564919879346,4.0E-4,191,20.98541,0.0048135812,0.0072448677,0.0065054074,296.22028,0.15716428,212.97476,146,223,297,31.097429348007537,76.31862075058424,71,459,318,0.62187,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.31862075058424,31.097429348007537]}"
31_0,0.028287048,0.03875401,0.20114258,0.13513012,0.05674678,0.08634522,0.08336605,0.13845293,0.24610533,0.27822098,0.28612572,0.29972774,0.30218896,150,0.3725224398775371,1.8596045E-5,0.53636533,241.9,0.0,0.0,0.0,1.8659399E-5,0.0,1312,0.54875284,2,-0.53636533,177.8,0.0,0.0,0.0,1.7992963E-5,0.34978997218623525,4.4323862E-4,133,16.037722,0.0058615613,0.00889655,0.008563141,299.08365,0.1773108,-0.0,142,271,222,29.821821644557815,75.77514000369194,80,435,295,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77514000369194,29.821821644557815]}"
32_0,0.030464847,0.035374094,0.19419283,0.12683067,0.051675316,0.08110864,0.07448656,0.1331275,0.25276947,0.290874,0.2976699,0.31271103,0.3126933,139,0.4111630729441051,1.7396795E-5,0.5717358,235.0,0.0,0.0,0.0,1.3964228E-6,0.0,1364,0.59970295,2,-0.5717358,154.7,0.0,0.0,0.0,1.6712642E-5,0.3838474050707671,4.261308E-4,111,15.293911,0.005323179,0.008377066,0.007684971,299.1811,0.17411332,-0.0,145,238,222,29.96106051359634,75.4697128070913,79,435,327,0.057968166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.4697128070913,29.96106051359634]}"
33_0,0.023943206,0.047055323,0.19376686,0.12553324,0.060562592,0.090358004,0.08469408,0.13834311,0.23301366,0.25830165,0.26838863,0.2805404,0.28857312,149,0.3472923536075698,2.3000735E-5,0.49625728,274.2,0.0,0.0,0.0,3.7867976E-5,0.0,1402,0.52025926,2,-0.49625728,164.8,0.0,0.0,0.0,2.2888324E-5,0.32299543812777887,4.4206312E-4,108,18.111721,0.0062812283,0.009298441,0.008676244,298.38672,0.18377775,130.88255,145,270,241,30.037417312746502,76.31862075058424,81,326,405,0.17713387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.31862075058424,30.037417312746502]}"
34_0,0.029784782,0.043790497,0.17693146,0.110410534,0.051964417,0.08109857,0.07391281,0.12456518,0.24572872,0.28516322,0.2918838,0.30435178,0.30889803,176,0.4049616037449963,2.1115364E-5,0.5651346,260.5,0.0,0.0,0.0,3.71647E-5,0.0,1198,0.5958803,2,-0.5651346,176.2,0.0,0.0,0.0,2.1003998E-5,0.3776365987516932,4.0E-4,132,17.43362,0.0053908825,0.008380564,0.007656921,298.4435,0.18461262,270.0,144,250,214,31.025564125277974,75.12835299912588,80,391,359,0.067645036,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.12835299912588,31.025564125277974]}"
35_0,0.023770113,0.04776225,0.1901069,0.12220986,0.060061816,0.08940233,0.08251079,0.13579267,0.23007463,0.25495347,0.2648662,0.27719378,0.28492448,205,0.34814807294822697,2.3642311E-5,0.49528494,318.7,0.0,0.0,0.0,3.0973526E-5,0.0,1246,0.5249496,2,-0.49528494,200.0,0.0,0.0,0.0,2.36845E-5,0.32279979124795033,4.3389975E-4,123,18.429417,0.0062302477,0.0092005925,0.008457143,298.2631,0.18351278,229.1442,148,325,244,30.131740417579053,76.34107863268724,80,252,424,0.088614956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.34107863268724,30.131740417579053]}"
36_0,0.024025423,0.042192888,0.16975111,0.102851234,0.049741182,0.076440565,0.06609637,0.11620996,0.21791135,0.24693072,0.2565666,0.26921147,0.2744798,200,0.3719872015946245,2.5638672E-5,0.5409074,300.70000000000005,0.0,0.0,0.0,0.0,0.0,1168,0.59030706,2,-0.5409074,230.89999999999998,0.0,0.0,0.0,2.7529642E-5,0.3472933219244751,4.0E-4,176,19.527355,0.005173872,0.007887506,0.0068325284,297.22073,0.17000107,329.78882,146,343,267,30.82793476277168,76.15692399944274,77,312,345,0.13415794,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.15692399944274,30.82793476277168]}"
37_0,0.028040415,0.039671972,0.19264178,0.12459438,0.05459909,0.08434275,0.07755914,0.13489151,0.24598445,0.2797149,0.28783435,0.30199772,0.30513707,157,0.39122539580141436,1.9663761E-5,0.54676014,244.9,0.0,0.0,0.0,1.52280045E-5,0.0,1436,0.57547605,2,-0.54676014,160.6,0.0,0.0,0.0,1.9156518E-5,0.3644732809700684,4.320906E-4,112,16.35741,0.0056398553,0.00870043,0.007981786,298.83987,0.17749843,-0.0,148,244,228,30.010467854222917,75.81107261505672,80,421,334,0.057968166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.81107261505672,30.010467854222917]}"
38_0,0.025876757,0.0438062,0.19017294,0.12172706,0.056967385,0.08660928,0.0791718,0.1349973,0.2384422,0.26813638,0.27722552,0.2905586,0.29618508,208,0.37368601125713335,2.1779368E-5,0.52390873,288.3,0.0,0.0,0.0,2.3466073E-5,0.0,1511,0.5557105,2,-0.52390873,208.49999999999997,0.0,0.0,0.0,2.1543417E-5,0.3468957451283782,4.3194264E-4,143,17.412724,0.005897487,0.008925387,0.00813311,298.5194,0.180591,-0.0,145,318,237,30.09580780621427,76.08056720029258,80,353,329,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.08056720029258,30.09580780621427]}"
39_0,0.030456468,0.035147022,0.19905132,0.13359179,0.053328324,0.08244876,0.07832767,0.13484955,0.25091138,0.28716612,0.29376158,0.30847362,0.3078365,132,0.39492486410725847,1.7028267E-5,0.56168795,223.4,0.0,0.0,0.0,6.01473E-7,0.0,1669,0.5789845,2,-0.56168795,142.7,0.0,0.0,0.0,1.6345895E-5,0.37054792848154133,4.3157238E-4,100,15.266464,0.005494825,0.00850634,0.008068997,299.2878,0.173776,49.06549,152,221,222,29.857754255922597,75.4831875363531,81,461,318,0.088474505,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.4831875363531,29.857754255922597]}"
40_0,0.029429937,0.038019765,0.20290355,0.13126358,0.053121187,0.08221813,0.07490275,0.134481,0.2542112,0.29221916,0.29922628,0.31183422,0.3138844,140,0.415341993221262,1.5890393E-5,0.5689116,227.5,0.0,0.0,0.0,1.696121E-5,0.0,1296,0.5995887,2,-0.5689116,141.7,0.0,0.0,0.0,1.5649615E-5,0.38493779167881575,4.172944E-4,90,15.127243,0.00547736,0.008492856,0.0077139386,299.5474,0.18141505,180.0,150,229,211,29.916144749390366,75.09242038776111,78,458,313,0.11593621,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.09242038776111,29.916144749390366]}"
41_0,0.023162758,0.04766687,0.17403583,0.10801728,0.05524099,0.08203481,0.071102835,0.12156744,0.21536343,0.23983844,0.24911132,0.261834,0.26765132,195,0.3527935965288691,2.6098658E-5,0.50454015,314.3,0.0,0.0,0.0,0.0,0.0,1484,0.5559045,2,-0.50454015,212.6,0.0,0.0,0.0,2.7456448E-5,0.32554026382030454,4.0E-4,148,19.792675,0.0057385755,0.008448032,0.0073173977,297.5128,0.1767412,-0.0,148,332,267,30.612339094582996,76.36353651479023,78,259,410,0.057968166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.36353651479023,30.612339094582996]}"
42_0,0.023726132,0.047480736,0.19353367,0.12533692,0.060824405,0.09057817,0.08487929,0.13829601,0.23209481,0.25691584,0.26708195,0.2791472,0.28738818,141,0.3450351492847708,2.3219074E-5,0.49349582,264.8,0.0,0.0,0.0,3.8355025E-5,0.0,1148,0.5176782,2,-0.49349582,180.59999999999997,0.0,0.0,0.0,2.3140181E-5,0.3207939267938926,4.418575E-4,138,18.226318,0.0063095954,0.009320038,0.008693756,298.3543,0.1840614,180.0,147,278,244,30.046400465587695,76.34557020910783,80,352,371,0.057968166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.34557020910783,30.046400465587695]}"
